Pos,"Player Name",Team,B,"Pitcher Matchup T","Pitcher Matchup Opp","Pitcher Matchup Opp Pitcher","Lineup Slot","DraftKings Salary","Today FP","Today Value","Last 5 Games FP/G","Last 5 Games Value","Season FP/G","Season Value"
C,"Sanchez, Tony",PIT,R,R,@MIL,"Nelson, J.",Bench,"$3,600",2.1,0.6,1.0,0.3,1.0,0.3
OF,"den Dekker, Matt",WAS,L,L,@PHI,"Hamels, C.",Bench,"$2,800",2.1,0.8,0.0,0.0,0.0,0.0
3B,"Lamb, Jake",ARI,L,L,LAD,"Kershaw, C.",Bench,"$3,400",2.1,0.6,11.7,3.4,11.7,3.4
1B/C,"Lavarnway, Ryan",BAL,R,R,TOR,"Sanchez, A.",Bench,"$2,700",2.1,0.8,7.0,2.6,7.0,2.6
C,"Recker, Anthony",NYM,R,R,@ATL,"Teheran, J.",Bench,"$3,200",2.1,0.6,0.0,0.0,0.0,0.0
C,"McKenry, Mike",COL,R,R,CHC,"Hammel, J.",Bench,"$4,000",2.0,0.5,0.0,0.0,0.0,0.0
1B/3B,"Johnson, Chris",ATL,R,R,NYM,"Gee, D.",Bench,"$3,500",2.0,0.6,13.5,3.9,13.5,3.9
2B,"La Stella, Tommy",CHC,L,R,@COL,"Kendrick, K.",Bench,"$4,200",2.0,0.5,4.0,1.0,4.0,1.0
OF,"Francoeur, Jeff",PHI,R,R,WAS,"Fister, D.",Bench,"$2,300",2.0,0.9,6.0,2.6,6.0,2.6
C,"Conger, Hank",HOU,B,R,@TEX,"Gallardo, Y.",Bench,"$3,300",2.0,0.6,4.0,1.2,4.0,1.2
C,"Pierzynski, A.J.",ATL,L,R,NYM,"Gee, D.",Bench,"$3,100",2.0,0.7,20.0,6.5,20.0,6.5
3B,"Jimenez, Luis",MIL,R,R,PIT,"Worley, V.",Bench,"$2,700",2.0,0.7,0.0,0.0,0.0,0.0
C,"Rupp, Cameron",PHI,R,R,WAS,"Fister, D.",Bench,"$2,000",2.0,1.0,4.0,2.0,4.0,2.0
C,"Maldonado, Martin",MIL,R,R,PIT,"Worley, V.",Bench,"$3,100",2.0,0.6,0.0,0.0,0.0,0.0
